position_name,company_name,salary,work_city,work_exp,education,company_size,company_type,industry,position_url,job_summary,welfare,salary_count
程序化广告媒介,诺斯人力资源服务(深圳)有限公司,1.5万-2.5万,上海,1-3年,大专,20-99人,外商独资,人力资源服务,http://www.zhaopin.com/jobdetail/CCL1409866310J40693961810.htm,岗位职责：1.负责开拓及维护国内有广告变现需求移动APP开发商；2.合作媒体的维护和跟踪，并可跨部门与运营等进行媒体/客户需求的有效沟通;3.完成品牌/销售等需求媒体的定向拓展目标;4.根据公司业务发展拓展移动端的流量资源；5.较好的完成岗位目标和团队目标。任职要求：1.了解广告市场行业，尤其是程序化广告行业，具备一定的市场洞察能力和分析能力;2.互联网广告行业2年以上经验，程序化广告1年以上经验...,,13薪
SEM运营总监,盐城市思科网络工程有限公司,1.5万-2.5万,上海,5-10年,大专,100-299人,民营,互联网,http://www.zhaopin.com/jobdetail/CC229774510J40563915014.htm,需外派盐城、淮安、连云港区域能力优秀者薪资可面议岗位职责：1、基于客户的营销推广情况，挖掘客户的营销推广需求，扩大客户投放预算，提升客户广告投放效果，提升整体客户的满意度、续约率，并完成公司的总包业绩任务；2、负责公司大客户的专项对接，并解决客户在投放、营销推广方面的问题，为客户提供优质的营销框架合作方案，提升大客户满意度；3、负责运营团队的搭建和战斗力提升，通过团队培训及赋能，提升团队成员专业度...,,
媒介经理,江西百巢品牌管理有限公司,3万-4.5万,上海,经验不限,初中及以下,100-299人,民营,广告/营销,http://www.zhaopin.com/jobdetail/CCL1476219420J40664283011.htm,岗位职责：1. 承接品牌及产品营销策略，制定媒介传播策略和传播方案；2.对现有品牌有清晰的定位，围绕品牌核心竞争力制定相关活动策划及市场营销；3.对市场热点反应敏锐，制造热点营销，日常对接媒体平台，捕获媒体资源方案，策划营销事件，提升品牌曝光度，提升品牌形象；4.媒介环境及前瞻性趋势研究，为品牌及产品媒介传播提供有效建议及媒介创意；5. 管控及考核媒介代理公司，对媒介投放效果负责；6. 联络KOC...,,
资深产品经理（商品产品）,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40674261909.htm,美团到综事业部涵盖洗浴、足疗按摩、KTV、密室剧本娱乐、运动健身、宠物、酒吧、丽人、医美医疗、教育培训、亲子、结婚、家居、家政洗涤维修等数十个重点生活服务细分行业。我们为近200个本地生活服务行业提供营销、经营等数字化服务，链接本地消费需求和本地商家优质服务，搭建信息和交易平台，并提供高质量的履约服务保障。我们通过将信息及服务的线上化和标准化，为用户提供更多美好生活方式的选择，帮助商户在平台上更好...,免费健身,
海外广告媒介运营,上海炎灯网络科技有限公司,6千-8千,上海,无经验,本科,20-99人,港澳台公司,广告/营销,http://www.zhaopin.com/jobdetail/CCL1490984080J40722371508.htm,【岗位职责】1、日常Facebook、Google、Kwai、TikTok等大媒体的开户和账户对账2、对接广告主，进行日常运维，记录所负责项目日常消耗、客户充值情况，及时跟进客户和团队内部情况，优化工作流程上的问题3、签署io，一定周期内（每月或项目结算时）和广告主进行对账结算4、合理协调公司的内部资源，推进公司业务流程顺利进行5、维护和公司上下游的客情关系【任职要求】1、工作态度积极，乐于主动沟...,,13薪
私域运营经理,百玺(上海)企业管理有限公司,8千-1.5万,上海,3-5年,大专,100-299人,民营,快速消费品,http://www.zhaopin.com/jobdetail/CCL1379465560J40683322009.htm,岗位职责：1、负责公司私域业务团队的整体管理统筹和团队业务策略规划，构建具有行业优势的私域运营管理体系。2、搭建并运营私域流量（短视频平台粉丝、微信、社群私域体系等），完善并整合现有的模式，迭代用户的拉新、促活、奖励等机制，提升私域裂变速度。 3、以客户和粉丝为中心，挖掘用户需求，独立策划各种营销活动，能够对热点快速反应，激发用户参与度，促进优质内容分享和沉淀，提升社群的粘性；4、负责用户增长工具...,,
营销产品经理,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40661564109.htm,美团到综事业部涵盖洗浴、足疗按摩、KTV、密室剧本娱乐、运动健身、宠物、酒吧、丽人、医美医疗、教育培训、亲子、结婚、家居、家政洗涤维修等数十个重点生活服务细分行业。我们为近200个本地生活服务行业提供营销、经营等数字化服务，链接本地消费需求和本地商家优质服务，搭建信息和交易平台，并提供高质量的履约服务保障。我们通过将信息及服务的线上化和标准化，为用户提供更多美好生活方式的选择，帮助商户在平台上更好...,免费健身,
SEO运营经理,一扫光,1.5万-2万,上海,3-5年,本科,100-299人,民营,快速消费品,http://www.zhaopin.com/jobdetail/CC270036380J40855468304.htm,岗位职责:1. 负责制定和执行SEO推广计划，提升品牌知名度和网站流量2. 分析市场趋势，优化推广策略，提高转化率3. 监控和评估推广效果，及时调整推广方案任职要求：1. 具备出色的沟通能力和团队协作精神2. 能够独立完成任务，具有较强的项目管理能力3. 持续关注SEO领域的新动态，不断学习和应用新知识,,
跨境市场营销,拼多多,1.6万-3万,上海,经验不限,本科,1000-9999人,民营,互联网,http://www.zhaopin.com/jobdetail/CC625242220J40688430010.htm,1．负责跨境项目的市场营销工作，依据增长目标，制定对应营销策略并落地包含站内专题运营，广告投放创意生产，EDM内容策划，海外达人营销，SNS平台运营等多项工作；2．负责挖掘产品亮点，创作相关内容及独立把控创意质量，为转化效果负责；3．通过数据分析、用户研究和产品卖点洞察，持续优化内容策略，提升数据效果；4．熟悉增长方法论，了解各大社媒平台（Facebook、Tiktok、Instagram、You...,,16薪
用户体验运营专家,北京三快在线科技有限公司,面议,上海,3-5年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40616647609.htm,美团金融服务平台成立于2016年，以“场景+金融”模式，携手合作伙伴构建开放生态，为美团平台用户和商户提供底层账户、支付通道、信贷、保险和理财等金融解决方案。我们致力于以科技为核心，助力金融机构打通金融普惠“最后一公里”。我们期待与大家共同完成每一件平凡而卓越的事情，一起为用户提供优质的产品体验，守护用户的资金安全，让生活变得更美好。岗位职责1.通过对产品用户体验流程及服务运营全场景深度分析，挖掘...,,
事业开发经理,爱志万(上海)健康管理有限公司,8千-1.6万,上海,经验不限,大专,100-299人,外商独资,卫生服务,http://www.zhaopin.com/jobdetail/CCL1447403670J40682417011.htm,职位描述： 1.深入了解行业，把握最新信息，为企业提供行业业务发展的战略依据；2.负责与政府、街道、社区沟通联系，推动项目进展。与合作伙伴进行联系，在更大范围内对项目进行推广、宣传和拓展； 3.发现客户需求、跟踪项目进程，对项目实施进行管理，撰写项目方案、报告； 4.进行活动策划、文案撰写、活动组织、活动宣传；5.负责市场营销推广策略的制定及推行，拓展销售渠道； 6.负责公司所有对外文化宣传的策划...,"周末双休,带薪假期,五险,包吃,通讯补助",
B端运营主管,果盈科技(徐州)有限公司,1.5万-3万,上海,3-5年,本科,20-99人,其它,互联网,http://www.zhaopin.com/jobdetail/CCL1475585770J40675233201.htm,岗位职责：1、负责团队业务目标（用户及销售额）达成；2、负责构建目标客户获取、跟进、转化和维护方法和流程，并带来团队有效落地执行3、负责围绕业务目标寻找各种解决方案（包括运营方案、活动策划等），并有效落地执行；4、负责运营工作的规划与安排，并带领运营团队有效实施；5、承接公司OKR目标，带领团队成员制定OKR，并跟进实施与有效达成，持续打造高绩效团队；6、负责运营团队建设：包括能力培养、人员选拔等...,,
美团企业版-客户成功经理（华东）,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40626695209.htm,美团平台为用户的基础产品体验负责，还承担了美团的用户增长、市场和品牌营销、前端技术基础设施建设以及多条业务线的产品设计职责，建立了融合文字、图片、视频和直播等不同形式的內容生态系统，同时整合地图服务部、客户服务和体验部、企业业务部、网约车业务部等部门，致力于用科技提升美团数亿消费者、近千万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里...,出差补贴,
市场经理（上海）,成都华微电子科技股份有限公司,2.5万-4万,上海,5-10年,大专,500-999人,国企,电子/半导体/集成电路,http://www.zhaopin.com/jobdetail/CC120962660J40393677702.htm,岗位要求： 1、大专学历以上，电子、物理、机械或其它工科专业 2、7年以上芯片原厂和代理商销售经理相关工作经验 3、具备芯片行业尤其是模拟信号链，电源电池电机，光优与储能，汽车电子等领域的人脉 及知识储畜。 4、具备较强主观能动性、执行能力及良好的沟通能力 岗位职责： 1、新产品调研：依托公司固有产品线优势和技术路线进行新产品的拓展和调研，信息收其和成东与价格预估，和公司研发负责人 共同确定产品定...,,
服装用户运营（急招/商家分层运营）,外企德科,1万-1.1万,上海,1-3年,本科,1000-9999人,合资,人力资源服务,http://www.zhaopin.com/jobdetail/CC138117190J40723688105.htm,岗位职责：①分析货品：结合服装&女装品类特征，分析洞察新老客分层货品特征、及盘点货品清单，及场域特征；②活动报名：协同用增、外投团队，内部商家团队，根据用户特性及货品分层，通过权益，拉新活动报名方式带来用户和订单；③搭建用户报表、数据分析报表，推动产品迭代。岗位要求：①熟练使用SQL、excel表等数据分析和统计能力；②有电商数据分析能力优先；③1年以上电商行业经验，数据分析经验。工作时间：10：...,,
Merchandising Manager-商品经理,上海乐高乐园有限公司,2万-3万,上海,5-10年,本科,1000-9999人,合资,旅游服务,http://www.zhaopin.com/jobdetail/CCL1316963660J40584836803.htm,"Job Responsibilities:1. Category Planning- Managing the planning and implementation of product lines with aligned merchandising strategies.- Utilize data analytics to understand customer behavior, tra...",免费班车,
人文垂类内容运营,北京三快在线科技有限公司,面议,上海,1-3年,本科,1000-9999人,上市公司,互联网,http://www.zhaopin.com/jobdetail/CC383625320J40574131509.htm,大众点评作为国内重要的本地生活消费决策参考平台，多年来深耕本地生活消费领域，深受广大用户的信任和喜爱。我们的业务覆盖了吃喝玩乐游购娱等生活场景，通过极具辨识度和公信力的”星级“和”评价“产品，为数亿用户提供了全面、可信的消费决策依据。为更好满足用户探索城市的需求，大众点评在原有星级和评价的基础上，以信息流产品形式，助力用户发现更多好去处。大量优秀年轻同学的加入，为我们的团队注入了澎湃活力。我们相信...,,
seo运营主管,鲨鱼股份,1.5万-2.5万,上海,3-5年,本科,100-299人,民营,石油/石化,http://www.zhaopin.com/jobdetail/CC478471710J40698845207.htm,岗位职责：1.负责制定并执行全面的SEO策略，提升网站在搜索引擎中的排名和流量。2.分析关键词和竞争对手，优化网站内容和结构，提高网站的搜索可见性。3.负责监测和分析网站流量、排名和转化率数据，及时调整SEO策略。4.与内容团队合作，优化网站内容，提升用户体验和搜索引擎友好度。5.跟踪SEO行业动态和算法更新，及时调整策略，保持网站的优势地位。任职要求：1.本科及以上学历，计算机、市场营销或相关专...,,
网站运营,运研材料科技(无锡)有限公司,8千-1万,上海,1-3年,本科,20-99人,民营,橡胶和塑料制品,http://www.zhaopin.com/jobdetail/CCL1319836710J40688681512.htm,岗位内容：1. 负责网站日常运营工作，包括网站内容管理、活动策划和推广等；2. 维护管理网站社区和用户反馈，及时处理用户问题；3. 收集竞品信息，进行竞品分析和行业研究。任职要求：1. 具备良好的文字表达和沟通能力，逻辑思维严密，2.有阿里国际站运营经验的优先，3. 热爱互联网行业，对网站运营和产品有浓厚兴趣。,,
电动滑板车供应链产品经理,上海璨明电子贸易有限公司,1.2万-1.5万,上海,3-5年,本科,20人以下,民营,电子/半导体/集成电路,http://www.zhaopin.com/jobdetail/CC466294880J40624034606.htm,岗位职责：根据电动滑板车开发需求，寻找并筛选国内合适的供应商，协同定制开发所需组件，如电机、电池、控制器等关键部件。对接海外客户的技术与规格需求，将其转化为具体的产品开发方案。主导供应链管理，包括报价、样品确认、生产跟踪等流程，确保开发进度。参与整车设计与功能优化，提供专业建议。收集智能移动领域的市场趋势和技术动向，支持产品创新。岗位要求：在中国电动滑板车或相关智能移动领域有3年以上从业经验。熟悉...,弹性工作,
